politician,url,datefrom,dateto,details,location,rate,nights,key,amount,spouse,note,lat,lon,electorate,state,party,partygroup,house,withinelectorate,
JOHNSTON David,http://www.finance.gov.au/sites/default/files/P35_JOHNSTON_David.pdf,26-Jul-12,26-Jul-12,Shadow Minister - Official Business,Sydney,$121.00,0,19http://www.finance.gov.au/sites/default/files/P35_JOHNSTON_David.pdf25P35 JOHNSTON David,"-$242.00 <i>**</i>
",,,-33.8674869,151.2069902,,WA,Liberal,Coalition,senate,,
GRIERSON Sharon,http://www.finance.gov.au/sites/default/files/P34_GRIERSON_Sharon.pdf,26-Nov-12,29-Nov-12,Sittings of Parliament,Canberra,$260.00,0,14http://www.finance.gov.au/sites/default/files/P34_GRIERSON_Sharon.pdf8P34 GRIERSON Sharon,28,,*,-35.2819998,149.1286843,Newcastle,NSW,Labor,Labor,lower,no,
BRIGGS Jamie,http://www.finance.gov.au/sites/default/files/P34_BRIGGS_Jamie.pdf,3-Jan-13,3-Jan-13,Shadow Parliamentary Secretary - Official ,Sydney,$372.00,0,12http://www.finance.gov.au/sites/default/files/P34_BRIGGS_Jamie.pdf24P34 BRIGGS Jamie,$18.00,,*,-33.8674869,151.2069902,Mayo,SA,Liberal,Coalition,lower,no,
BROWN Carol,http://www.finance.gov.au/sites/default/files/P34_BROWN_Carol.pdf,21-Feb-13,21-Feb-13,Community Affairs,Melbourne,$124.00,0,12http://www.finance.gov.au/sites/default/files/P34_BROWN_Carol.pdf18P34 BROWN Carol,-$247.00,,*,-37.814107,144.96328,,TAS,Labor,Labor,senate,,
JONES Ewen,http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf,23-Feb-13,27-Feb-13,Sittings of Parliament,Canberra,$260.00,5,11http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf23P34 JONES Ewen,"$1,300.00",,,-35.2819998,149.1286843,Herbert,QLD,Liberal,Coalition,lower,no,
MCCORMACK Michael,http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf,13-Jun-13,15-Jun-13,Parliamentary Political Party Meeting,Bathurst,$276.00,0,19http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf18P34 MCCORMACK Michael,$48.00,,*,-33.4176529,149.5810314,Riverina,NSW,National,Coalition,lower,no,
COBB John,http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf,20-Jun-13,20-Jun-13,Shadow Minister - Official Business,Sydney,$372.00,0,12http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf18P34 COBB John,121,,*,-33.8674869,151.2069902,Calare,NSW,National,Coalition,lower,no,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf,23-Jun-13,27-Jun-13,Sittings of Parliament,Canberra,$260.00,5,18http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf24P34 MACFARLANE Ian,"$1,300.00",,,-35.2819998,149.1286843,Groom,QLD,Liberal,Coalition,lower,no,
HOCKEY Joe,http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf,29-Jun-13,29-Jun-13,Shadow Minister - Official Business,Melbourne,$371.00,-1,12http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf20P34 HOCKEY Joe,-371,,*,-37.814107,144.96328,North Sydney,NSW,Liberal,Coalition,lower,no,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf,1-Jul-13,3-Jul-13,Shadow Minister - Official Business,Perth,$382.00,3,25http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf24P34 MACFARLANE Ian,"$1,146.00",,,-31.9535132,115.8570471,Groom,QLD,Liberal,Coalition,lower,no,
