datefrom,location,count
10-Dec-2014,Adelaide,2
11-Mar-2014,Adelaide,2
12-Mar-2014,Adelaide,2
15-Oct-2014,Adelaide,2
15-Sep-2014,Adelaide,2
17-Sep-2014,Adelaide,2
19-Nov-2014,Adelaide,2
21-May-2014,Adelaide,2
23-Jul-2014,Adelaide,2
24-Oct-2014,Adelaide,2
25-Sep-2014,Adelaide,2
27-Jul-2014,Adelaide,2
30-May-2014,Adelaide,2
5-May-2014,Adelaide,2
6-Mar-2014,Adelaide,2
8-May-2014,Adelaide,2
8-Sep-2014,Adelaide,2
9-Apr-2014,Adelaide,2
14-Apr-2014,Adelaide,3
14-Oct-2014,Adelaide,3
18-Nov-2014,Adelaide,3
21-Aug-2014,Adelaide,3
3-Jul-2014,Adelaide,3
5-Aug-2014,Adelaide,3
6-Nov-2014,Adelaide,3
7-May-2014,Adelaide,3
9-Nov-2014,Adelaide,3
13-Oct-2014,Adelaide,4
29-Apr-2014,Adelaide,4
8-Oct-2014,Adelaide,4
9-Oct-2014,Adelaide,4
4-Feb-2014,Adelaide,5
6-May-2014,Adelaide,5
10-Jun-2014,Adelaide,7
31-Mar-2014,Airlie Beach,5
10-Apr-2014,Albany,2
10-Mar-2014,Albany,2
31-Oct-2014,Albany,2
6-Aug-2014,Albany,2
9-Jun-2014,Albury,2
1-Apr-2014,Alice Springs,2
22-Apr-2014,Alice Springs,2
22-May-2014,Alice Springs,2
18-May-2014,Alice Springs,3
31-Mar-2014,Alice Springs,3
7-Oct-2014,Alice Springs,3
1-Apr-2014,Ayr,3
2-May-2014,Benalla,3
16-Oct-2014,Bendigo,2
10-Aug-2014,Bingara,3
27-Sep-2014,Birdsville,2
29-Jul-2014,Boyup Brook,2
10-Jun-2014,Brisbane,2
11-Sep-2014,Brisbane,2
12-Aug-2014,Brisbane,2
12-Nov-2014,Brisbane,2
13-Aug-2014,Brisbane,2
13-Nov-2014,Brisbane,2
14-Oct-2014,Brisbane,2
15-Sep-2014,Brisbane,2
16-Dec-2014,Brisbane,2
16-Oct-2014,Brisbane,2
18-Oct-2014,Brisbane,2
19-Jun-2014,Brisbane,2
19-Nov-2014,Brisbane,2
2-Feb-2014,Brisbane,2
22-Apr-2014,Brisbane,2
22-May-2014,Brisbane,2
23-Jan-2014,Brisbane,2
29-Nov-2014,Brisbane,2
3-Oct-2014,Brisbane,2
30-May-2014,Brisbane,2
30-Oct-2014,Brisbane,2
4-May-2014,Brisbane,2
5-Aug-2014,Brisbane,2
7-Aug-2014,Brisbane,2
7-Nov-2014,Brisbane,2
9-Jul-2014,Brisbane,2
1-May-2014,Brisbane,3
10-Sep-2014,Brisbane,3
11-Mar-2014,Brisbane,3
17-Feb-2014,Brisbane,3
18-Aug-2014,Brisbane,3
18-May-2014,Brisbane,3
18-Sep-2014,Brisbane,3
2-Jul-2014,Brisbane,3
27-Apr-2014,Brisbane,3
4-Feb-2014,Brisbane,3
5-Feb-2014,Brisbane,3
5-Jun-2014,Brisbane,3
6-May-2014,Brisbane,3
7-Oct-2014,Brisbane,3
8-Apr-2014,Brisbane,3
1-Jul-2014,Brisbane,4
15-Oct-2014,Brisbane,4
18-Jul-2014,Brisbane,4
20-Aug-2014,Brisbane,4
20-Jul-2014,Brisbane,4
21-Aug-2014,Brisbane,4
21-Jul-2014,Brisbane,4
29-Jan-2014,Brisbane,4
30-Apr-2014,Brisbane,4
31-Mar-2014,Brisbane,4
9-Sep-2014,Brisbane,4
10-Jul-2014,Brisbane,5
11-Aug-2014,Brisbane,5
20-Mar-2014,Brisbane,5
21-May-2014,Brisbane,5
28-Jan-2014,Brisbane,5
29-Jul-2014,Brisbane,5
6-Nov-2014,Brisbane,5
9-Nov-2014,Brisbane,5
10-Aug-2014,Brisbane,6
11-Jul-2014,Brisbane,6
5-May-2014,Brisbane,6
7-May-2014,Brisbane,7
19-Aug-2014,Brisbane,8
19-May-2014,Brisbane,8
22-Jan-2014,Brisbane,9
6-Sep-2013,Broken Hill,2
16-Feb-2014,Broken Hill,3
27-Feb-2014,Broome,2
1-May-2014,Broome,3
20-Jul-2014,Broome,3
23-Jul-2014,Broome,3
4-Jul-2014,Broome,3
5-May-2014,Broome,3
4-May-2014,Broome,4
5-Feb-2014,Bundaberg,2
6-Feb-2014,Bundaberg,13
18-May-2014,Cairns,2
2-Jul-2014,Cairns,2
21-Nov-2014,Cairns,2
22-Jul-2014,Cairns,2
22-May-2014,Cairns,2
28-Apr-2014,Cairns,2
28-Jul-2014,Cairns,2
29-Jul-2014,Cairns,2
3-Jul-2014,Cairns,2
7-Feb-2014,Cairns,2
1-May-2014,Cairns,3
20-Jun-2014,Cairns,3
21-Jun-2014,Cairns,3
5-Nov-2014,Cairns,4
27-Apr-2014,Cairns,5
30-Apr-2014,Cairns,5
14-Oct-2014,Ceduna,2
30-May-2014,Ceduna,2
12-Aug-2014,Charleville,2
10-Jun-2014,Cobar,2
2-May-2014,Coober Pedy,2
19-Feb-2014,Cooktown,2
13-Aug-2014,Coonabarabran,3
12-Oct-2014,Darwin,2
13-Mar-2014,Darwin,2
13-Sep-2014,Darwin,2
14-Aug-2014,Darwin,2
14-Sep-2014,Darwin,2
15-Sep-2014,Darwin,2
17-Feb-2014,Darwin,2
20-Aug-2014,Darwin,2
21-Nov-2014,Darwin,2
22-May-2014,Darwin,2
27-Feb-2014,Darwin,2
29-Jan-2014,Darwin,2
3-Aug-2014,Darwin,2
6-Jun-2014,Darwin,2
8-May-2014,Darwin,2
12-Nov-2014,Darwin,3
13-Aug-2014,Darwin,3
28-Feb-2014,Darwin,3
30-Jan-2014,Darwin,3
8-Nov-2014,Darwin,3
1-Aug-2014,Darwin,4
19-Aug-2014,Darwin,4
20-May-2014,Darwin,4
6-May-2014,Darwin,4
2-Apr-2014,Darwin,5
7-Sep-2014,Darwin,5
19-May-2014,Darwin,6
17-Aug-2014,Darwin,10
14-Aug-2014,Dubbo,3
22-Jan-2014,Eaglehawk Neck,2
22-Jul-2014,Fitzroy Crossing,2
14-Apr-2014,Geelong,2
28-Apr-2014,Geelong,2
13-Apr-2014,Geelong,3
6-Nov-2014,Georgetown,2
1-Jul-2014,Georgetown,5
6-Sep-2014,Geraldton,2
2-Apr-2014,Geraldton,3
11-Jul-2014,Gold Coast,2
2-Aug-2014,Gove,3
12-Aug-2014,Gunnedah,2
10-Sep-2014,Hobart,2
11-Dec-2014,Hobart,2
13-Aug-2014,Hobart,2
